Property_Name,Property_Id,BreadCrumbs,Price,Location,Image_url,Description,Property_Type,Bathrooms,Bedrooms
New 4 bhk House for RENT in near Pantheerankavu,1680037823,"[{'type': 'single', 'key': 'type', 'value_name': 'Houses & Villas', 'value': 'houses', 'key_name': 'Type', 'formatted_value': 'Houses & Villas'}, {'type': 'single', 'key': 'rooms', 'value_name': '4', 'value': '4', 'key_name': 'Bedrooms', 'formatted_value': '4'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '3', 'value': '3', 'key_name': 'Bathrooms', 'formatted_value': '3'}, {'type': 'single', 'key': 'furnished', 'value_name': 'Unfurnished', 'value': 'no', 'key_name': 'Furnishing', 'formatted_value': 'Unfurnished'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Dealer', 'value': 'broker', 'key_name': 'Listed by', 'formatted_value': 'Dealer'}, {'type': 'single', 'key': 'ft', 'value_name': '1850', 'value': '1850', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '1850'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '1850', 'value': '1850', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '1850'}, {'type': 'single', 'key': 'bachelors', 'value_name': 'No', 'value': 'no', 'key_name': 'Bachelors Allowed', 'formatted_value': 'No'}, {'type': 'single', 'key': 'maintenance', 'value_name': '200', 'value': '200', 'key_name': 'Maintenance (Monthly)', 'formatted_value': '200'}, {'type': 'single', 'key': 'totalfloors', 'value_name': '2', 'value': '2', 'key_name': 'Total Floors', 'formatted_value': '2'}, {'type': 'single', 'key': 'carparking', 'value_name': '1', 'value': '1', 'key_name': 'Car Parking', 'formatted_value': '1'}, {'type': 'single', 'key': 'floorno', 'value_name': '2', 'value': '2', 'key_name': 'Floor No', 'formatted_value': '2'}, {'type': 'single', 'key': 'facing', 'value_name': 'West', 'value': 'west', 'key_name': 'Facing', 'formatted_value': 'West'}]","{'INR': '₹ 25,000'}","Pantheerankavu, Olavanna, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/txxncsukrl9q2-IN/image,"New 4 bhk House for rent in near Pantheerankavu. Only for families. Excellent locality. Rent Rs 25000 and deposit 5 months rent. Serious clients need only contact 9,double4,7,1,1,4,4,7,1 for details and site visit. * Service charges as applicable. *Time passers pls stay away.",Houses & Villas,3,4
6-bhk furnished traditional house for rent,1685979953,"[{'type': 'single', 'key': 'type', 'value_name': 'Houses & Villas', 'value': 'houses', 'key_name': 'Type', 'formatted_value': 'Houses & Villas'}, {'type': 'single', 'key': 'rooms', 'value_name': '4+', 'value': '5', 'key_name': 'Bedrooms', 'formatted_value': '4+'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '4+', 'value': '5', 'key_name': 'Bathrooms', 'formatted_value': '4+'}, {'type': 'single', 'key': 'furnished', 'value_name': 'Furnished', 'value': 'yes', 'key_name': 'Furnishing', 'formatted_value': 'Furnished'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Dealer', 'value': 'broker', 'key_name': 'Listed by', 'formatted_value': 'Dealer'}, {'type': 'single', 'key': 'ft', 'value_name': '2800', 'value': '2800', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '2800'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '2500', 'value': '2500', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '2500'}, {'type': 'single', 'key': 'bachelors', 'value_name': 'Yes', 'value': 'yes', 'key_name': 'Bachelors Allowed', 'formatted_value': 'Yes'}, {'type': 'single', 'key': 'carparking', 'value_name': '2', 'value': '2', 'key_name': 'Car Parking', 'formatted_value': '2'}, {'type': 'single', 'key': 'facing', 'value_name': 'South-East', 'value': 'southeast', 'key_name': 'Facing', 'formatted_value': 'South-East'}, {'type': 'single', 'key': 'projects', 'value_name': 'KEZONA', 'value': 'KEZONA', 'key_name': 'Project Name', 'formatted_value': 'KEZONA'}]","{'INR': '₹ 18,000'}","Karanthur, Kozhikode, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/u7d1b4f7hzsg3-IN/image,"6-bedroom  3-bathroom not attached inside one bathroom available  Location: Karanthoor-calicit  Rent : 18,000/- Deposit : 50,000/-   Dm me for more",Houses & Villas,4+,4+
3-bhk unfurnished villa for rent,1685979594,"[{'type': 'single', 'key': 'type', 'value_name': 'Houses & Villas', 'value': 'houses', 'key_name': 'Type', 'formatted_value': 'Houses & Villas'}, {'type': 'single', 'key': 'rooms', 'value_name': '3', 'value': '3', 'key_name': 'Bedrooms', 'formatted_value': '3'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '3', 'value': '3', 'key_name': 'Bathrooms', 'formatted_value': '3'}, {'type': 'single', 'key': 'furnished', 'value_name': 'Unfurnished', 'value': 'no', 'key_name': 'Furnishing', 'formatted_value': 'Unfurnished'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Dealer', 'value': 'broker', 'key_name': 'Listed by', 'formatted_value': 'Dealer'}, {'type': 'single', 'key': 'ft', 'value_name': '2500', 'value': '2500', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '2500'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '2350', 'value': '2350', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '2350'}, {'type': 'single', 'key': 'bachelors', 'value_name': 'Yes', 'value': 'yes', 'key_name': 'Bachelors Allowed', 'formatted_value': 'Yes'}, {'type': 'single', 'key': 'carparking', 'value_name': '1', 'value': '1', 'key_name': 'Car Parking', 'formatted_value': '1'}, {'type': 'single', 'key': 'facing', 'value_name': 'South-East', 'value': 'southeast', 'key_name': 'Facing', 'formatted_value': 'South-East'}, {'type': 'single', 'key': 'projects', 'value_name': 'KEZONA', 'value': 'KEZONA', 'key_name': 'Project Name', 'formatted_value': 'KEZONA'}]","{'INR': '₹ 23,000'}","Velliparamba, Kozhikode, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/x8rh78xuojan3-IN/image,"3-bedroom 3-bathroom  Location: velliparamba-calicut  Rent : 23,000/- Deposit : 75,000/-  Dm me for more",Houses & Villas,3,3
3-bhk unfurnished villa for rent,1685977974,"[{'type': 'single', 'key': 'type', 'value_name': 'Houses & Villas', 'value': 'houses', 'key_name': 'Type', 'formatted_value': 'Houses & Villas'}, {'type': 'single', 'key': 'rooms', 'value_name': '3', 'value': '3', 'key_name': 'Bedrooms', 'formatted_value': '3'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '3', 'value': '3', 'key_name': 'Bathrooms', 'formatted_value': '3'}, {'type': 'single', 'key': 'furnished', 'value_name': 'Unfurnished', 'value': 'no', 'key_name': 'Furnishing', 'formatted_value': 'Unfurnished'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Dealer', 'value': 'broker', 'key_name': 'Listed by', 'formatted_value': 'Dealer'}, {'type': 'single', 'key': 'ft', 'value_name': '2500', 'value': '2500', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '2500'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '2350', 'value': '2350', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '2350'}, {'type': 'single', 'key': 'bachelors', 'value_name': 'Yes', 'value': 'yes', 'key_name': 'Bachelors Allowed', 'formatted_value': 'Yes'}, {'type': 'single', 'key': 'carparking', 'value_name': '1', 'value': '1', 'key_name': 'Car Parking', 'formatted_value': '1'}, {'type': 'single', 'key': 'facing', 'value_name': 'South-West', 'value': 'southwest', 'key_name': 'Facing', 'formatted_value': 'South-West'}, {'type': 'single', 'key': 'projects', 'value_name': 'KEZONA', 'value': 'KEZONA', 'key_name': 'Project Name', 'formatted_value': 'KEZONA'}]","{'INR': '₹ 22,000'}","Kannadikkal, Kozhikode, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/odzvttrp22fc3-IN/image,"3-bedroom 3-bathroom  Location: kannadikkal,2kms from malaparaba  Rent : 23,000/-  Deposit : 60,000/-  Dm me for more",Houses & Villas,3,3
3 bhk house for RENT in near NGO Qrts,1682508931,"[{'type': 'single', 'key': 'type', 'value_name': 'Houses & Villas', 'value': 'houses', 'key_name': 'Type', 'formatted_value': 'Houses & Villas'}, {'type': 'single', 'key': 'rooms', 'value_name': '3', 'value': '3', 'key_name': 'Bedrooms', 'formatted_value': '3'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '3', 'value': '3', 'key_name': 'Bathrooms', 'formatted_value': '3'}, {'type': 'single', 'key': 'furnished', 'value_name': 'Unfurnished', 'value': 'no', 'key_name': 'Furnishing', 'formatted_value': 'Unfurnished'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Dealer', 'value': 'broker', 'key_name': 'Listed by', 'formatted_value': 'Dealer'}, {'type': 'single', 'key': 'ft', 'value_name': '1800', 'value': '1800', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '1800'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '1800', 'value': '1800', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '1800'}, {'type': 'single', 'key': 'bachelors', 'value_name': 'No', 'value': 'no', 'key_name': 'Bachelors Allowed', 'formatted_value': 'No'}, {'type': 'single', 'key': 'maintenance', 'value_name': '200', 'value': '200', 'key_name': 'Maintenance (Monthly)', 'formatted_value': '200'}, {'type': 'single', 'key': 'totalfloors', 'value_name': '2', 'value': '2', 'key_name': 'Total Floors', 'formatted_value': '2'}, {'type': 'single', 'key': 'carparking', 'value_name': '1', 'value': '1', 'key_name': 'Car Parking', 'formatted_value': '1'}, {'type': 'single', 'key': 'floorno', 'value_name': '2', 'value': '2', 'key_name': 'Floor No', 'formatted_value': '2'}, {'type': 'single', 'key': 'facing', 'value_name': 'East', 'value': 'east', 'key_name': 'Facing', 'formatted_value': 'East'}]","{'INR': '₹ 18,000'}","N G O Quarter, Kozhikode, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/3gi6s68kc6kr2-IN/image,"3 bedroom house for rent in near NGO Qrts.  One car park. Rent Rs 18000 per month and deposit 75000. Available to families only.  Only genuine clients need contact 9,4,4,7,double1,4,4,7,1 for details and site visit.  *Service charges as applicable * Time passers pls stay away.",Houses & Villas,3,3
Vadaka home purakatiri kozikode,1685973248,"[{'type': 'single', 'key': 'type', 'value_name': 'Houses & Villas', 'value': 'houses', 'key_name': 'Type', 'formatted_value': 'Houses & Villas'}, {'type': 'single', 'key': 'rooms', 'value_name': '3', 'value': '3', 'key_name': 'Bedrooms', 'formatted_value': '3'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '2', 'value': '2', 'key_name': 'Bathrooms', 'formatted_value': '2'}, {'type': 'single', 'key': 'furnished', 'value_name': 'Unfurnished', 'value': 'no', 'key_name': 'Furnishing', 'formatted_value': 'Unfurnished'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Dealer', 'value': 'broker', 'key_name': 'Listed by', 'formatted_value': 'Dealer'}, {'type': 'single', 'key': 'ft', 'value_name': '1200', 'value': '1200', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '1200'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '1', 'value': '1', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '1'}, {'type': 'single', 'key': 'bachelors', 'value_name': 'No', 'value': 'no', 'key_name': 'Bachelors Allowed', 'formatted_value': 'No'}, {'type': 'single', 'key': 'maintenance', 'value_name': '7000', 'value': '7000', 'key_name': 'Maintenance (Monthly)', 'formatted_value': '7000'}, {'type': 'single', 'key': 'totalfloors', 'value_name': '1', 'value': '1', 'key_name': 'Total Floors', 'formatted_value': '1'}, {'type': 'single', 'key': 'floorno', 'value_name': '1', 'value': '1', 'key_name': 'Floor No', 'formatted_value': '1'}, {'type': 'single', 'key': 'carparking', 'value_name': '1', 'value': '1', 'key_name': 'Car Parking', 'formatted_value': '1'}, {'type': 'single', 'key': 'facing', 'value_name': 'East', 'value': 'east', 'key_name': 'Facing', 'formatted_value': 'East'}, {'type': 'single', 'key': 'projects', 'value_name': 'Rent home', 'value': 'Rent home', 'key_name': 'Project Name', 'formatted_value': 'Rent home'}]","{'INR': '₹ 7,000'}","Purakkattiri, Thalakkulathur, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/p94v51hzozvh3-IN/image,Avashiyam ullavar msg pls detiles paryam,Houses & Villas,2,3
4bhk furnished house for rent,1685960101,"[{'type': 'single', 'key': 'type', 'value_name': 'Houses & Villas', 'value': 'houses', 'key_name': 'Type', 'formatted_value': 'Houses & Villas'}, {'type': 'single', 'key': 'rooms', 'value_name': '4', 'value': '4', 'key_name': 'Bedrooms', 'formatted_value': '4'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '4', 'value': '4', 'key_name': 'Bathrooms', 'formatted_value': '4'}, {'type': 'single', 'key': 'furnished', 'value_name': 'Furnished', 'value': 'yes', 'key_name': 'Furnishing', 'formatted_value': 'Furnished'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Dealer', 'value': 'broker', 'key_name': 'Listed by', 'formatted_value': 'Dealer'}, {'type': 'single', 'key': 'ft', 'value_name': '2800', 'value': '2800', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '2800'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '2500', 'value': '2500', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '2500'}, {'type': 'single', 'key': 'bachelors', 'value_name': 'Yes', 'value': 'yes', 'key_name': 'Bachelors Allowed', 'formatted_value': 'Yes'}, {'type': 'single', 'key': 'carparking', 'value_name': '1', 'value': '1', 'key_name': 'Car Parking', 'formatted_value': '1'}, {'type': 'single', 'key': 'facing', 'value_name': 'North-West', 'value': 'northwest', 'key_name': 'Facing', 'formatted_value': 'North-West'}, {'type': 'single', 'key': 'projects', 'value_name': 'Kezona', 'value': 'Kezona', 'key_name': 'Project Name', 'formatted_value': 'Kezona'}]","{'INR': '₹ 25,000'}","Chelavoor, Pantheeramkavu, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/th4hgmvrsprh3-IN/image,"4-bedroom 3-bathroom  Location: Pallithazham - chelavoor road   Rent : 25,000/- Deposit : 1,50,000/-  Dm me for more",Houses & Villas,4,4
"House available for Bachelors near KSRTC, Mavoor Road",1674655491,"[{'type': 'single', 'key': 'type', 'value_name': 'Houses & Villas', 'value': 'houses', 'key_name': 'Type', 'formatted_value': 'Houses & Villas'}, {'type': 'single', 'key': 'rooms', 'value_name': '4', 'value': '4', 'key_name': 'Bedrooms', 'formatted_value': '4'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '3', 'value': '3', 'key_name': 'Bathrooms', 'formatted_value': '3'}, {'type': 'single', 'key': 'furnished', 'value_name': 'Unfurnished', 'value': 'no', 'key_name': 'Furnishing', 'formatted_value': 'Unfurnished'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Dealer', 'value': 'broker', 'key_name': 'Listed by', 'formatted_value': 'Dealer'}, {'type': 'single', 'key': 'ft', 'value_name': '2000', 'value': '2000', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '2000'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '2000', 'value': '2000', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '2000'}, {'type': 'single', 'key': 'bachelors', 'value_name': 'No', 'value': 'no', 'key_name': 'Bachelors Allowed', 'formatted_value': 'No'}, {'type': 'single', 'key': 'maintenance', 'value_name': '250', 'value': '250', 'key_name': 'Maintenance (Monthly)', 'formatted_value': '250'}, {'type': 'single', 'key': 'totalfloors', 'value_name': '2', 'value': '2', 'key_name': 'Total Floors', 'formatted_value': '2'}, {'type': 'single', 'key': 'carparking', 'value_name': '3', 'value': '3', 'key_name': 'Car Parking', 'formatted_value': '3'}, {'type': 'single', 'key': 'floorno', 'value_name': '2', 'value': '2', 'key_name': 'Floor No', 'formatted_value': '2'}, {'type': 'single', 'key': 'facing', 'value_name': 'East', 'value': 'east', 'key_name': 'Facing', 'formatted_value': 'East'}]","{'INR': '₹ 45,000'}","Mavoor Road, Kozhikode, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/x5lskl5sgkia-IN/image,"4 bhk house available for bachelors/office purpose near KSRTC, Mavoor Road.  Rent Rs 45000 per month and deposit 6 months rent.  Genuinely interested clients may contact 9,DOUBLE4,7,1,1,4,4,7,1 for details and site visit.  We are agents and clients willing to pay appropriate brokerage charges need only approach us.  Time passers pls stay away.",Houses & Villas,3,4
3BHK semi furnished flat for rent,1685957503,"[{'type': 'single', 'key': 'type', 'value_name': 'Apartments', 'value': 'rent-apartments', 'key_name': 'Type', 'formatted_value': 'Apartments'}, {'type': 'single', 'key': 'rooms', 'value_name': '3', 'value': '3', 'key_name': 'Bedrooms', 'formatted_value': '3'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '3', 'value': '3', 'key_name': 'Bathrooms', 'formatted_value': '3'}, {'type': 'single', 'key': 'furnished', 'value_name': 'Furnished', 'value': 'yes', 'key_name': 'Furnishing', 'formatted_value': 'Furnished'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Dealer', 'value': 'broker', 'key_name': 'Listed by', 'formatted_value': 'Dealer'}, {'type': 'single', 'key': 'ft', 'value_name': '1800', 'value': '1800', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '1800'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '1400', 'value': '1400', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '1400'}, {'type': 'single', 'key': 'bachelors', 'value_name': 'No', 'value': 'no', 'key_name': 'Bachelors Allowed', 'formatted_value': 'No'}, {'type': 'single', 'key': 'maintenance', 'value_name': '2800', 'value': '2800', 'key_name': 'Maintenance (Monthly)', 'formatted_value': '2800'}, {'type': 'single', 'key': 'totalfloors', 'value_name': '15', 'value': '15', 'key_name': 'Total Floors', 'formatted_value': '15'}, {'type': 'single', 'key': 'floorno', 'value_name': '05', 'value': '05', 'key_name': 'Floor No', 'formatted_value': '05'}, {'type': 'single', 'key': 'carparking', 'value_name': '1', 'value': '1', 'key_name': 'Car Parking', 'formatted_value': '1'}, {'type': 'single', 'key': 'facing', 'value_name': 'North-West', 'value': 'northwest', 'key_name': 'Facing', 'formatted_value': 'North-West'}, {'type': 'single', 'key': 'projects', 'value_name': 'Kezona', 'value': 'Kezona', 'key_name': 'Project Name', 'formatted_value': 'Kezona'}]","{'INR': '₹ 25,800'}","Palazhi, Kozhikode, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/he71b6tzodic-IN/image,"3-bedroom - only one room is furnished  3-bathroom  Location: thondayad-palazhi   Rent : 25,800/- including maintenance Deposit : 1,00,000/-  No fridge and washinmechine  Dm me for more",Apartments,3,3
4 bhk House for RENT in near Velliparambu  - Only for Families,1682484052,"[{'type': 'single', 'key': 'type', 'value_name': 'Houses & Villas', 'value': 'houses', 'key_name': 'Type', 'formatted_value': 'Houses & Villas'}, {'type': 'single', 'key': 'rooms', 'value_name': '4', 'value': '4', 'key_name': 'Bedrooms', 'formatted_value': '4'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '3', 'value': '3', 'key_name': 'Bathrooms', 'formatted_value': '3'}, {'type': 'single', 'key': 'furnished', 'value_name': 'Unfurnished', 'value': 'no', 'key_name': 'Furnishing', 'formatted_value': 'Unfurnished'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Dealer', 'value': 'broker', 'key_name': 'Listed by', 'formatted_value': 'Dealer'}, {'type': 'single', 'key': 'ft', 'value_name': '1550', 'value': '1550', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '1550'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '1550', 'value': '1550', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '1550'}, {'type': 'single', 'key': 'bachelors', 'value_name': 'No', 'value': 'no', 'key_name': 'Bachelors Allowed', 'formatted_value': 'No'}, {'type': 'single', 'key': 'maintenance', 'value_name': '100', 'value': '100', 'key_name': 'Maintenance (Monthly)', 'formatted_value': '100'}, {'type': 'single', 'key': 'totalfloors', 'value_name': '2', 'value': '2', 'key_name': 'Total Floors', 'formatted_value': '2'}, {'type': 'single', 'key': 'carparking', 'value_name': '2', 'value': '2', 'key_name': 'Car Parking', 'formatted_value': '2'}, {'type': 'single', 'key': 'floorno', 'value_name': '2', 'value': '2', 'key_name': 'Floor No', 'formatted_value': '2'}, {'type': 'single', 'key': 'facing', 'value_name': 'East', 'value': 'east', 'key_name': 'Facing', 'formatted_value': 'East'}]","{'INR': '₹ 14,000'}","Velliparamba, Kozhikode, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/kvk1a6uyx0j71-IN/image,"4 bedroom House for rent in near Velliparambu. Only 300 mtrs from bus route. 2 storied. Available from 1st May. Only for families. Rent 14000 per month and deposit 4 months rent. Only serious clients need contact 9,4,4,7,double1,4,4,7,1 for details and site visit. Service charges as applicable. Time passers pls excuse.",Houses & Villas,3,4
7000 rent 25000 advance,1685926052,"[{'type': 'single', 'key': 'type', 'value_name': 'Houses & Villas', 'value': 'houses', 'key_name': 'Type', 'formatted_value': 'Houses & Villas'}, {'type': 'single', 'key': 'rooms', 'value_name': '2', 'value': '2', 'key_name': 'Bedrooms', 'formatted_value': '2'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '2', 'value': '2', 'key_name': 'Bathrooms', 'formatted_value': '2'}, {'type': 'single', 'key': 'furnished', 'value_name': 'Unfurnished', 'value': 'no', 'key_name': 'Furnishing', 'formatted_value': 'Unfurnished'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Dealer', 'value': 'broker', 'key_name': 'Listed by', 'formatted_value': 'Dealer'}, {'type': 'single', 'key': 'ft', 'value_name': '950', 'value': '950', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '950'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '650', 'value': '650', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '650'}, {'type': 'single', 'key': 'bachelors', 'value_name': 'Yes', 'value': 'yes', 'key_name': 'Bachelors Allowed', 'formatted_value': 'Yes'}, {'type': 'single', 'key': 'maintenance', 'value_name': '7000', 'value': '7000', 'key_name': 'Maintenance (Monthly)', 'formatted_value': '7000'}, {'type': 'single', 'key': 'totalfloors', 'value_name': '1', 'value': '1', 'key_name': 'Total Floors', 'formatted_value': '1'}, {'type': 'single', 'key': 'floorno', 'value_name': '1', 'value': '1', 'key_name': 'Floor No', 'formatted_value': '1'}, {'type': 'single', 'key': 'carparking', 'value_name': '1', 'value': '1', 'key_name': 'Car Parking', 'formatted_value': '1'}, {'type': 'single', 'key': 'facing', 'value_name': 'North', 'value': 'north', 'key_name': 'Facing', 'formatted_value': 'North'}, {'type': 'single', 'key': 'projects', 'value_name': '965697o795', 'value': '965697o795', 'key_name': 'Project Name', 'formatted_value': '965697o795'}]","{'INR': '₹ 7,000'}","Sri Krishna Nagar, Mavoor, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/ly47u038vd9t1-IN/image,Rent7000 advance 25000,Houses & Villas,2,2
Furnished 4 bhk house for rent near Calicut Medical College,1685915592,"[{'type': 'single', 'key': 'type', 'value_name': 'Houses & Villas', 'value': 'houses', 'key_name': 'Type', 'formatted_value': 'Houses & Villas'}, {'type': 'single', 'key': 'rooms', 'value_name': '4', 'value': '4', 'key_name': 'Bedrooms', 'formatted_value': '4'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '4', 'value': '4', 'key_name': 'Bathrooms', 'formatted_value': '4'}, {'type': 'single', 'key': 'furnished', 'value_name': 'Furnished', 'value': 'yes', 'key_name': 'Furnishing', 'formatted_value': 'Furnished'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Owner', 'value': 'owner', 'key_name': 'Listed by', 'formatted_value': 'Owner'}, {'type': 'single', 'key': 'ft', 'value_name': '1900', 'value': '1900', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '1900'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '1800', 'value': '1800', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '1800'}, {'type': 'single', 'key': 'bachelors', 'value_name': 'No', 'value': 'no', 'key_name': 'Bachelors Allowed', 'formatted_value': 'No'}, {'type': 'single', 'key': 'maintenance', 'value_name': '0', 'value': '0', 'key_name': 'Maintenance (Monthly)', 'formatted_value': '0'}, {'type': 'single', 'key': 'totalfloors', 'value_name': '2', 'value': '2', 'key_name': 'Total Floors', 'formatted_value': '2'}, {'type': 'single', 'key': 'carparking', 'value_name': '3', 'value': '3', 'key_name': 'Car Parking', 'formatted_value': '3'}, {'type': 'single', 'key': 'facing', 'value_name': 'West', 'value': 'west', 'key_name': 'Facing', 'formatted_value': 'West'}, {'type': 'single', 'key': 'projects', 'value_name': 'Furnished 4 bhk house for rent near Calicut Medical College', 'value': 'Furnished 4 bhk house for rent near Calicut Medical College', 'key_name': 'Project Name', 'formatted_value': 'Furnished 4 bhk house for rent near Calicut Medical College'}]","{'INR': '₹ 15,000'}","Velliparamba, Kozhikode, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/9s4pba5xnsz11-IN/image,"Furnished 4 bhk house for rent near Calicut Medical College. Bus route. 1.5 km to Calicut Medical College, Devagiri College and Devagiri Public School. 2 km hilite Mall. Well water available.",Houses & Villas,4,4
House for lease,1685906265,"[{'type': 'single', 'key': 'type', 'value_name': 'Houses & Villas', 'value': 'houses', 'key_name': 'Type', 'formatted_value': 'Houses & Villas'}, {'type': 'single', 'key': 'rooms', 'value_name': '3', 'value': '3', 'key_name': 'Bedrooms', 'formatted_value': '3'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '3', 'value': '3', 'key_name': 'Bathrooms', 'formatted_value': '3'}, {'type': 'single', 'key': 'furnished', 'value_name': 'Semi-Furnished', 'value': 'semi', 'key_name': 'Furnishing', 'formatted_value': 'Semi-Furnished'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Owner', 'value': 'owner', 'key_name': 'Listed by', 'formatted_value': 'Owner'}, {'type': 'single', 'key': 'ft', 'value_name': '120', 'value': '120', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '120'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '96', 'value': '96', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '96'}, {'type': 'single', 'key': 'bachelors', 'value_name': 'Yes', 'value': 'yes', 'key_name': 'Bachelors Allowed', 'formatted_value': 'Yes'}, {'type': 'single', 'key': 'totalfloors', 'value_name': '2', 'value': '2', 'key_name': 'Total Floors', 'formatted_value': '2'}, {'type': 'single', 'key': 'floorno', 'value_name': '2', 'value': '2', 'key_name': 'Floor No', 'formatted_value': '2'}, {'type': 'single', 'key': 'carparking', 'value_name': '1', 'value': '1', 'key_name': 'Car Parking', 'formatted_value': '1'}, {'type': 'single', 'key': 'facing', 'value_name': 'South', 'value': 'south', 'key_name': 'Facing', 'formatted_value': 'South'}]","{'INR': '₹ 10,00,000'}","Kuttikattur, Kozhikode, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/ja55h0h35ruk3-IN/image,A house with 3 bedrooms and 3 bathrooms for lease,Houses & Villas,3,3
